Prior,Accuracy,Precision,Recall,F1-score
0-100,0.35064935064935066,0.12295496711081128,0.35064935064935066,0.1820679320679321
10-90,0.6017316017316018,0.7923168642771621,0.6017316017316018,0.5891673609409459
20-80,0.670995670995671,0.7517541534727356,0.670995670995671,0.6764757702351915
30-70,0.7272727272727273,0.7621337340345605,0.7272727272727273,0.7333847350848568
40-60,0.7359307359307359,0.7530444850530781,0.7359307359307359,0.740538928864333
50-50,0.7445887445887446,0.7504427390791027,0.7445887445887446,0.7468273391087779
60-40,0.7445887445887446,0.7469078540507111,0.7445887445887446,0.7456207092570729
70-30,0.7402597402597403,0.7344864642399853,0.7402597402597403,0.735905011796353
80-20,0.7359307359307359,0.7274862868843335,0.7359307359307359,0.7234851256946274
90-10,0.7186147186147186,0.7101576449402536,0.7186147186147186,0.6945403873362505
100-0,0.6493506493506493,0.42165626581210996,0.6493506493506493,0.5112997238981491
